appid,ate,se,nobs,price,title,regular_price,logprice,ngames,ngames_pub,logngames,years_since_release,release_year,logyrs,indie,multiplayer,free_to_play,rich_story,difficult,early_access,remake,retro,metascore,metastd,rating_count,logratecount,date_num,wkend,is_promo,game_sponsored,game_sponsored_daily,game_primary,game_primary_daily,is_significant
70,0.00224264653432617,0.000992222985886034,5447,,Half-Life,9.9899998,,10,27,2.30258509299405,22.520548,1998,3.15787442207873,0,1,0,1,1,0,0,1,96,1.1832585,64614,11.0762018609593,0,FALSE,,0.0052219322,0,0.23107049,0,TRUE
440,0.115777870442784,0.0015914218051969,5447,0,Team Fortress 2,0,0,10,27,2.30258509299405,13.594521,2007,2.68064618430879,0,1,1,0,0,0,0,0,92,1.7466486,798900,13.5909923121905,0,FALSE,,0.00024648756,0,0.80391914,0.980225998122478,TRUE
500,-0.00173584621332955,0.00170656586363574,5447,,Left 4 Dead,9.9899998,,10,27,2.30258509299405,12.487671,2008,2.60177600890981,0,1,0,1,0,0,0,0,89,1.6632783,34866,10.4592961021286,0,FALSE,,0.0058139535,0,0.0029069767,0,FALSE
550,-0.0019881952888793,0.00146790571559818,5447,,Left 4 Dead 2,9.9899998,,10,27,2.30258509299405,11.487671,2009,2.52474183757461,0,1,0,1,0,0,0,0,89,2.212594,521266,13.1640176654722,0,FALSE,,0.0037681481,0,0.35963649,0.43429782250314,FALSE
570,0.113924768350874,0.000703435755958738,5447,0,Dota 2,0,0,10,27,2.30258509299405,7.8438358,2013,2.17972069656323,0,1,1,1,1,0,0,0,90,0,1553544,14.2560499742448,0,FALSE,,0.0025354002,4.60602450403e-06,0.87571615,0.96534416617115,TRUE
620,0.000533486299032916,0.000808499166401401,5447,,Portal 2,9.9899998,,10,27,2.30258509299405,10.068493,2011,2.40410260375884,0,1,0,1,0,0,0,0,95,1.372448,262769,12.4790344038252,0,FALSE,,0.0066248258,0,0.089958161,0.0153205411043018,FALSE
730,0.094746781892847,0.000972482212064434,5447,,Counter-Strike: Global Offensive,0,,10,27,2.30258509299405,8.7260275,2012,2.27480553945035,0,1,0,0,1,0,0,0,83,2.7462466,5763432,15.5670438620749,0,FALSE,,0.0071659386,0.0010628654315497,0.79183996,0.939715396915716,TRUE
1630,-0.0139403319295007,0.0084358638125607,5447,,Disciples II: Rise of the Elves,6.9899998,,1,1,0,14.857534,2006,2.76364471861947,0,0,0,1,0,0,0,0,80,2.0700536,904,6.80793494369993,0,FALSE,,0.050724637,,0.78260869,,FALSE
3590,0.0188887772085502,0.0032980137062592,5447,,Plants vs. Zombies GOTY Edition,4.9899998,,1,6,0,12.024657,2009,2.56684425331956,1,0,0,0,0,0,0,0,87,1.45812,59493,10.9936307461129,0,FALSE,,0.0052301255,0,0.22071129,0.0001373154809698,TRUE
4000,-0.0035227666719931,0.000979186718127103,5447,,Garry's Mod,9.9899998,,10,27,2.30258509299405,14.457534,2006,2.73809652202766,1,1,0,0,0,0,0,0,-99,1.4656404,724906,13.4937986497467,0,FALSE,,0.0053486531,0,0.3514263,0.190984334622044,TRUE
6000,0.00137952147238688,0.00615624341776686,5447,,STAR WARS™ Republic Commando™,9.9899998,,2,11,0.693147180559945,16.205479,2005,2.84522787960587,0,1,0,0,0,0,0,0,78,1.7325397,11475,9.34801317710126,0,FALSE,,0,,0,,FALSE
6010,0.0120136420712872,0.0156979722601048,5447,,Indiana Jones® and the Fate of Atlantis™,5.9899998,,2,11,0.693147180559945,28.961643,1992,3.39991799693175,0,0,0,1,0,0,1,1,-99,-99,979,6.88755257166462,0,FALSE,,0.045454547,0,0.090909094,0,FALSE
7200,-0.0152464574093778,0.00444619765069051,5447,,Trackmania United Forever,29.99,,16,73,2.77258872223978,13.076713,2008,2.64452187177126,0,1,0,0,1,0,0,0,80,2.8145826,1598,7.37713371283395,0,FALSE,,0.00981241,0,0.64963925,0.513779069384782,TRUE
7670,0.11565911350381,0.00397538843856958,5447,,BioShock™,0,,16,52,2.77258872223978,13.731507,2007,2.68998853345594,0,0,0,1,0,0,0,0,96,2.0882058,25816,10.1587884686494,0,FALSE,,0.0018668326,0,0.043559428,0,TRUE
8500,0.0817703112646655,0.000729614398980375,5447,0,EVE Online,0,0,1,2,0,18.027397,2003,2.94587988792705,0,1,1,1,1,0,0,0,83,3.0989921,24140,10.0916669188142,0,FALSE,,0.013891496,0,0.89525062,0.988428374308569,TRUE
8870,-6.29678500448368e-06,0.00108223947068436,5447,,BioShock Infinite,29.99,,16,52,2.77258872223978,8.1342468,2013,2.21203073432333,0,0,0,1,0,0,0,0,94,1.6339966,115538,11.6573634142866,0,FALSE,,0.0032921811,0,0.041152265,0,FALSE
10090,0.0232248961964476,0.000956273763672026,5447,,Save 25% on Call of Duty: World at War,19.99,,8,32,2.07944154167984,12.484932,2008,2.60157291393901,0,1,0,0,0,0,0,0,83,2.3138771,36999,10.5186731916264,0,FALSE,,0.0017889087,0,0.44901609,1,TRUE
10180,0.0300389206208152,0.000979993323479185,5447,,Save 25% on Call of Duty®: Modern Warfare® 2,19.99,,8,32,2.07944154167984,11.501369,2009,2.52583815831138,0,1,0,1,0,0,0,0,86,2.8716457,43274,10.6753303800444,0,FALSE,,0.0051843319,0,0.51843315,0.62710309587419,TRUE
10680,-0.0171776519597417,0.005456569267828,5447,,Aliens vs. Predator™,14.99,,17,84,2.83321334405622,11.238357,2010,2.50457503604811,0,1,0,0,0,0,0,0,68,2.6577919,14591,9.58822871231411,0,FALSE,,0,,0,,TRUE
12100,0.000123828149688222,0.00245247106138138,5447,,Save 65% on Grand Theft Auto III,9.9899998,,10,10,2.30258509299405,18.986301,2002,2.99504708886857,0,1,0,1,0,0,0,0,93,2.0820889,10699,9.27799902045,0,FALSE,,0.0025284451,0,0.10493047,0.599578857421875,FALSE
12110,0.00101921799909989,0.001939990017079,5447,,Save 65% on Grand Theft Auto: Vice City,9.9899998,,10,10,2.30258509299405,18.008219,2003,2.94487146457851,0,1,0,1,0,0,0,0,94,1.5173858,22316,10.0131039988595,0,FALSE,,0.0055401661,0,0.22368421,0.01734738657251,FALSE
12120,0.00425857047744769,0.00101492083363255,5447,,Save 65% on Grand Theft Auto: San Andreas,14.99,,10,10,2.30258509299405,15.939726,2005,2.82966151435874,0,1,0,1,0,0,0,0,93,1.9409268,65215,11.0854601165824,0,FALSE,,0.01428123,0,0.49733207,0.635106404151884,TRUE
12140,-0.000513740168876054,0.00576377570761889,5447,,Max Payne,9.9899998,,10,10,2.30258509299405,19.80822,2001,3.03534810094705,0,0,0,1,0,0,0,0,89,1.4562665,8778,9.08011778492621,0,FALSE,,0,0,0.013392857,0,FALSE
12170,-0.0509215558761991,0.0416499132752373,5447,0,Grand Theft Auto,0,0,10,10,2.30258509299405,22.879452,1998,3.17301834018739,0,1,1,1,1,0,0,0,-99,2.6149588,303,5.71702770140622,0,FALSE,,0.012417823,0,0.086924762,0.0016406099312007,FALSE
12200,-0.00124250361879618,0.00246458105153616,5447,,Save 65% on Bully: Scholarship Edition,14.99,,10,10,2.30258509299405,12.561644,2008,2.60724551410146,0,1,0,1,0,0,0,0,72,2.3522518,17414,9.7650871828001,0,FALSE,,0.0035756854,0,0.073897496,0,FALSE
12210,0.00955783533935169,0.000582602298010529,5447,,Save 70% on Grand Theft Auto IV: The Complete Edition,19.99,,10,10,2.30258509299405,1.1315068,2020,0.756829147459653,0,1,0,1,0,0,0,0,90,2.8785703,88945,11.3957847229991,0,FALSE,,0.0032124829,0,0.23129876,0.0805515898391604,TRUE
12750,0.125345942291102,0.0154482760390364,5447,,,0,,3,26,1.09861228866811,12.942466,2008,2.63493929069154,,1,0,,0,,,,87,-99,,,0,FALSE,,0.012578616,,0.006289308,,TRUE
15210,0.0273696253065661,0.00379130562610853,5447,,Silent Hunter® III,9.9899998,,16,73,2.77258872223978,16.167124,2005,2.84299615942342,0,1,0,1,0,0,0,0,90,2.6958764,1633,7.39878627541995,0,FALSE,,0,,0.20192307,,TRUE
17450,0.0036602060076077,0.00264931704956716,5447,,Dragon Age: Origins,19.99,,18,60,2.89037175789616,11.517808,2009,2.52715227047148,0,0,0,1,0,0,0,0,91,1.9871758,9523,9.16157020760675,0,FALSE,,0,0,0.26278028,0,FALSE
19000,-0.00312576705511948,0.0344220421857553,5447,,Silent Hill Homecoming,39.990002,,3,17,1.09861228866811,12.517808,2008,2.60400792729279,0,1,0,1,0,0,0,0,64,2.8927596,1559,7.35244110024358,0,FALSE,,0,0,0.094999999,0,FALSE
